,sl,index,sentence,promptsForPython,promptsForJulius
749,750,si750,"Add a few caraway seeds, too, if you'd like.",ADD A FEW CARAWAY SEEDS TOO IF YOU'D LIKE,*/sample750 ADD A FEW CARAWAY SEEDS TOO IF YOU'D LIKE
750,751,si751,Serve in frankfurter buns or as a meat dish.,SERVE IN FRANKFURTER BUNS OR AS A MEAT DISH,*/sample751 SERVE IN FRANKFURTER BUNS OR AS A MEAT DISH
751,752,si752,Pretend ham: make criss-cross gashes on one side of skinless frankfurters.,PRETEND HAM MAKE CRISS-CROSS GASHES ON ONE SIDE OF SKINLESS FRANKFURTERS,*/sample752 PRETEND HAM MAKE CRISS-CROSS GASHES ON ONE SIDE OF SKINLESS FRANKFURTERS
752,753,si753,Make a paste of brown sugar and mustard and spread lightly over scored surface.,MAKE A PASTE OF BROWN SUGAR AND MUSTARD AND SPREAD LIGHTLY OVER SCORED SURFACE,*/sample753 MAKE A PASTE OF BROWN SUGAR AND MUSTARD AND SPREAD LIGHTLY OVER SCORED SURFACE
753,754,si754,"Instructions for preparing clay, drying, glazing and firing are not given.",INSTRUCTIONS FOR PREPARING CLAY DRYING GLAZING AND FIRING ARE NOT GIVEN,*/sample754 INSTRUCTIONS FOR PREPARING CLAY DRYING GLAZING AND FIRING ARE NOT GIVEN
754,755,si755,Equipment: basic pottery studio equipment.,EQUIPMENT BASIC POTTERY STUDIO EQUIPMENT,*/sample755 EQUIPMENT BASIC POTTERY STUDIO EQUIPMENT
755,756,si756,"Materials: ceramic modeling clay: red, white or buff.",MATERIALS CERAMIC MODELING CLAY RED WHITE OR BUFF,*/sample756 MATERIALS CERAMIC MODELING CLAY RED WHITE OR BUFF
756,757,si757,Stoneware clay for tiles.,STONEWARE CLAY FOR TILES,*/sample757 STONEWARE CLAY FOR TILES
757,758,si758,"When mold has more than one design cavity, make individual paper patterns.",WHEN MOLD HAS MORE THAN ONE DESIGN CAVITY MAKE INDIVIDUAL PAPER PATTERNS,*/sample758 WHEN MOLD HAS MORE THAN ONE DESIGN CAVITY MAKE INDIVIDUAL PAPER PATTERNS
758,759,si759,Trim excess clay away from outer edges.,TRIM EXCESS CLAY AWAY FROM OUTER EDGES,*/sample759 TRIM EXCESS CLAY AWAY FROM OUTER EDGES
759,760,si760,Opaque cantaloupe and transparent wood brown were used.,OPAQUE CANTALOUPE AND TRANSPARENT WOOD BROWN WERE USED,*/sample760 OPAQUE CANTALOUPE AND TRANSPARENT WOOD BROWN WERE USED
760,761,si761,Paperweight may be personalized on back while clay is leather hard.,PAPERWEIGHT MAY BE PERSONALIZED ON BACK WHILE CLAY IS LEATHER HARD,*/sample761 PAPERWEIGHT MAY BE PERSONALIZED ON BACK WHILE CLAY IS LEATHER HARD
761,762,si762,Fill small hole in bowl with clay.,FILL SMALL HOLE IN BOWL WITH CLAY,*/sample762 FILL SMALL HOLE IN BOWL WITH CLAY
762,763,si763,Jars are assembled in bowl of butter mold.,JARS ARE ASSEMBLED IN BOWL OF BUTTER MOLD,*/sample763 JARS ARE ASSEMBLED IN BOWL OF BUTTER MOLD
763,764,si764,Trim excess clay from around lip of mold and set aside while assembling lid.,TRIM EXCESS CLAY FROM AROUND LIP OF MOLD AND SET ASIDE WHILE ASSEMBLING LID,*/sample764 TRIM EXCESS CLAY FROM AROUND LIP OF MOLD AND SET ASIDE WHILE ASSEMBLING LID
764,765,si765,Turn shaker upside down.,TURN SHAKER UPSIDE DOWN,*/sample765 TURN SHAKER UPSIDE DOWN
765,766,si766,Set aside to dry thoroughly.,SET ASIDE TO DRY THOROUGHLY,*/sample766 SET ASIDE TO DRY THOROUGHLY
766,767,si767,Trim away excess clay; reinforce seam with a coil of clay.,TRIM AWAY EXCESS CLAY REINFORCE SEAM WITH A COIL OF CLAY,*/sample767 TRIM AWAY EXCESS CLAY REINFORCE SEAM WITH A COIL OF CLAY
767,768,si768,"Make lid for sugar bowl the same as jar lids, omitting design disk.",MAKE LID FOR SUGAR BOWL THE SAME AS JAR LIDS OMITTING DESIGN DISK,*/sample768 MAKE LID FOR SUGAR BOWL THE SAME AS JAR LIDS OMITTING DESIGN DISK
768,769,si769,Set aside to dry with lid on sugar bowl.,SET ASIDE TO DRY WITH LID ON SUGAR BOWL,*/sample769 SET ASIDE TO DRY WITH LID ON SUGAR BOWL
769,770,si770,"Vases: make same as salt and pepper shakers, leaving off top pieces.",VASES MAKE SAME AS SALT AND PEPPER SHAKERS LEAVING OFF TOP PIECES,*/sample770 VASES MAKE SAME AS SALT AND PEPPER SHAKERS LEAVING OFF TOP PIECES
770,771,si771,Vases may be made into candles by filling with melted wax and a wick.,VASES MAY BE MADE INTO CANDLES BY FILLING WITH MELTED WAX AND A WICK,*/sample771 VASES MAY BE MADE INTO CANDLES BY FILLING WITH MELTED WAX AND A WICK
771,772,si772,A cardboard pattern cut to fit inside holder will help to prevent warping.,A CARDBOARD PATTERN CUT TO FIT INSIDE HOLDER WILL HELP TO PREVENT WARPING,*/sample772 A CARDBOARD PATTERN CUT TO FIT INSIDE HOLDER WILL HELP TO PREVENT WARPING
772,773,si773,Let all projects dry slowly for several days.,LET ALL PROJECTS DRY SLOWLY FOR SEVERAL DAYS,*/sample773 LET ALL PROJECTS DRY SLOWLY FOR SEVERAL DAYS
773,774,si774,Place work on a flat surface and smooth out.,PLACE WORK ON A FLAT SURFACE AND SMOOTH OUT,*/sample774 PLACE WORK ON A FLAT SURFACE AND SMOOTH OUT
774,775,si775,Thread matching yarn in tapestry needle.,THREAD MATCHING YARN IN TAPESTRY NEEDLE,*/sample775 THREAD MATCHING YARN IN TAPESTRY NEEDLE
775,776,si776,Do not draw yarn too tight.,DO NOT DRAW YARN TOO TIGHT,*/sample776 DO NOT DRAW YARN TOO TIGHT
776,777,si777,Ease in any extra fullness evenly around.,EASE IN ANY EXTRA FULLNESS EVENLY AROUND,*/sample777 EASE IN ANY EXTRA FULLNESS EVENLY AROUND
777,778,si778,Nor is she a wet boat.,NOR IS SHE A WET BOAT,*/sample778 NOR IS SHE A WET BOAT
778,779,si779,"The keelson, made of two three-inch widths, is next installed.",THE KEELSON MADE OF TWO THREE-INCH WIDTHS IS NEXT INSTALLED,*/sample779 THE KEELSON MADE OF TWO THREE-INCH WIDTHS IS NEXT INSTALLED
779,780,si780,The side ones are a half-inch narrower.,THE SIDE ONES ARE A HALF-INCH NARROWER,*/sample780 THE SIDE ONES ARE A HALF-INCH NARROWER
780,781,si781,"Again, these blocks were set in resin-saturated glass cloth and nailed.",AGAIN THESE BLOCKS WERE SET IN RESIN-SATURATED GLASS CLOTH AND NAILED,*/sample781 AGAIN THESE BLOCKS WERE SET IN RESIN-SATURATED GLASS CLOTH AND NAILED
781,782,si782,The decking is quarter-inch mahogany marine plywood.,THE DECKING IS QUARTER-INCH MAHOGANY MARINE PLYWOOD,*/sample782 THE DECKING IS QUARTER-INCH MAHOGANY MARINE PLYWOOD
782,783,si783,You can build this vacation cottage yourself.,YOU CAN BUILD THIS VACATION COTTAGE YOURSELF,*/sample783 YOU CAN BUILD THIS VACATION COTTAGE YOURSELF
783,784,si784,"It is a big project, not to be taken lightly.",IT IS A BIG PROJECT NOT TO BE TAKEN LIGHTLY,*/sample784 IT IS A BIG PROJECT NOT TO BE TAKEN LIGHTLY
784,785,si785,"The theory: the idea behind our design is modular units, or panelization.",THE THEORY THE IDEA BEHIND OUR DESIGN IS MODULAR UNITS OR PANELIZATION,*/sample785 THE THEORY THE IDEA BEHIND OUR DESIGN IS MODULAR UNITS OR PANELIZATION
785,786,si786,Don't lose the chuck key.,DON'T LOSE THE CHUCK KEY,*/sample786 DON'T LOSE THE CHUCK KEY
786,787,si787,Feed pressure is also of major importance.,FEED PRESSURE IS ALSO OF MAJOR IMPORTANCE,*/sample787 FEED PRESSURE IS ALSO OF MAJOR IMPORTANCE
787,788,si788,We have become amateur insurance experts and fine-feathered yard birds.,WE HAVE BECOME AMATEUR INSURANCE EXPERTS AND FINE-FEATHERED YARD BIRDS,*/sample788 WE HAVE BECOME AMATEUR INSURANCE EXPERTS AND FINE-FEATHERED YARD BIRDS
788,789,si789,"But problems cling to pools, as any pool owner knows.",BUT PROBLEMS CLING TO POOLS AS ANY POOL OWNER KNOWS,*/sample789 BUT PROBLEMS CLING TO POOLS AS ANY POOL OWNER KNOWS
789,790,si790,We seemed to be witnessing the population explosion right in our own backyards.,WE SEEMED TO BE WITNESSING THE POPULATION EXPLOSION RIGHT IN OUR OWN BACKYARDS,*/sample790 WE SEEMED TO BE WITNESSING THE POPULATION EXPLOSION RIGHT IN OUR OWN BACKYARDS
790,791,si791,"So rules we made, in unabashed collusion.",SO RULES WE MADE IN UNABASHED COLLUSION,*/sample791 SO RULES WE MADE IN UNABASHED COLLUSION
791,792,si792,"But fenced or unfenced, no pool-side is the place for running or horseplay.",BUT FENCED OR UNFENCED NO POOL-SIDE IS THE PLACE FOR RUNNING OR HORSEPLAY,*/sample792 BUT FENCED OR UNFENCED NO POOL-SIDE IS THE PLACE FOR RUNNING OR HORSEPLAY
792,793,si793,A pool is no place for a shut trap.,A POOL IS NO PLACE FOR A SHUT TRAP,*/sample793 A POOL IS NO PLACE FOR A SHUT TRAP
793,794,si794,You should firmly insist that no bobby pins or hair pins be worn in the water.,YOU SHOULD FIRMLY INSIST THAT NO BOBBY PINS OR HAIR PINS BE WORN IN THE WATER,*/sample794 YOU SHOULD FIRMLY INSIST THAT NO BOBBY PINS OR HAIR PINS BE WORN IN THE WATER
794,795,si795,"When shed, they leave rust marks.",WHEN SHED THEY LEAVE RUST MARKS,*/sample795 WHEN SHED THEY LEAVE RUST MARKS
795,796,si796,"The filtered air benefits allergies, asthma, sinus, hay fever.",THE FILTERED AIR BENEFITS ALLERGIES ASTHMA SINUS HAY FEVER,*/sample796 THE FILTERED AIR BENEFITS ALLERGIES ASTHMA SINUS HAY FEVER
796,797,si797,"The need for reupholstering, redecorating, repainting becomes more infrequent.",THE NEED FOR REUPHOLSTERING REDECORATING REPAINTING BECOMES MORE INFREQUENT,*/sample797 THE NEED FOR REUPHOLSTERING REDECORATING REPAINTING BECOMES MORE INFREQUENT
797,798,si798,"When you're less fatigued, things just naturally look brighter.",WHEN YOU'RE LESS FATIGUED THINGS JUST NATURALLY LOOK BRIGHTER,*/sample798 WHEN YOU'RE LESS FATIGUED THINGS JUST NATURALLY LOOK BRIGHTER
798,799,si799,That brings its per-year cost down mighty low.,THAT BRINGS ITS PER-YEAR COST DOWN MIGHTY LOW,*/sample799 THAT BRINGS ITS PER-YEAR COST DOWN MIGHTY LOW
799,800,si800,"The simplest kind of separate system uses a single, self-contained unit.",THE SIMPLEST KIND OF SEPARATE SYSTEM USES A SINGLE SELF-CONTAINED UNIT,*/sample800 THE SIMPLEST KIND OF SEPARATE SYSTEM USES A SINGLE SELF-CONTAINED UNIT
800,801,si801,"In a new house, generous roof overhangs are a logical and effective solution.",IN A NEW HOUSE GENEROUS ROOF OVERHANGS ARE A LOGICAL AND EFFECTIVE SOLUTION,*/sample801 IN A NEW HOUSE GENEROUS ROOF OVERHANGS ARE A LOGICAL AND EFFECTIVE SOLUTION
801,802,si802,They're easier to shade there.,THEY'RE EASIER TO SHADE THERE,*/sample802 THEY'RE EASIER TO SHADE THERE
802,803,si803,"Insulate, weatherstrip, double-glaze to the maximum.",INSULATE WEATHERSTRIP DOUBLE-GLAZE TO THE MAXIMUM,*/sample803 INSULATE WEATHERSTRIP DOUBLE-GLAZE TO THE MAXIMUM
803,804,si804,This is particularly true in site selection.,THIS IS PARTICULARLY TRUE IN SITE SELECTION,*/sample804 THIS IS PARTICULARLY TRUE IN SITE SELECTION
804,805,si805,Begin the examination of a site with a good map and aerial photos if possible.,BEGIN THE EXAMINATION OF A SITE WITH A GOOD MAP AND AERIAL PHOTOS IF POSSIBLE,*/sample805 BEGIN THE EXAMINATION OF A SITE WITH A GOOD MAP AND AERIAL PHOTOS IF POSSIBLE
805,806,si806,You need answers to four important questions.,YOU NEED ANSWERS TO FOUR IMPORTANT QUESTIONS,*/sample806 YOU NEED ANSWERS TO FOUR IMPORTANT QUESTIONS
806,807,si807,One of the most desirable features for a park are beautiful views or scenery.,ONE OF THE MOST DESIRABLE FEATURES FOR A PARK ARE BEAUTIFUL VIEWS OR SCENERY,*/sample807 ONE OF THE MOST DESIRABLE FEATURES FOR A PARK ARE BEAUTIFUL VIEWS OR SCENERY
807,808,si808,A site may also be attractive just through the beauty of its trees and shrubs.,A SITE MAY ALSO BE ATTRACTIVE JUST THROUGH THE BEAUTY OF ITS TREES AND SHRUBS,*/sample808 A SITE MAY ALSO BE ATTRACTIVE JUST THROUGH THE BEAUTY OF ITS TREES AND SHRUBS
808,809,si809,Topography -- topography is very important.,TOPOGRAPHY  TOPOGRAPHY IS VERY IMPORTANT,*/sample809 TOPOGRAPHY  TOPOGRAPHY IS VERY IMPORTANT
809,810,si810,An area sheltered from strong winds may be highly desirable for recreation use.,AN AREA SHELTERED FROM STRONG WINDS MAY BE HIGHLY DESIRABLE FOR RECREATION USE,*/sample810 AN AREA SHELTERED FROM STRONG WINDS MAY BE HIGHLY DESIRABLE FOR RECREATION USE
810,811,si811,"Meanwhile, three great terrible forces were coagulating and crystallizing.",MEANWHILE THREE GREAT TERRIBLE FORCES WERE COAGULATING AND CRYSTALLIZING,*/sample811 MEANWHILE THREE GREAT TERRIBLE FORCES WERE COAGULATING AND CRYSTALLIZING
811,812,si812,Need for novelty may be a symptom of cultural fatigue and instability.,NEED FOR NOVELTY MAY BE A SYMPTOM OF CULTURAL FATIGUE AND INSTABILITY,*/sample812 NEED FOR NOVELTY MAY BE A SYMPTOM OF CULTURAL FATIGUE AND INSTABILITY
812,813,si813,"Push-ups: push-ups are essential, but few have the strength for them at first.",PUSH-UPS PUSH-UPS ARE ESSENTIAL BUT FEW HAVE THE STRENGTH FOR THEM AT FIRST,*/sample813 PUSH-UPS PUSH-UPS ARE ESSENTIAL BUT FEW HAVE THE STRENGTH FOR THEM AT FIRST
813,814,si814,Fall slowly forward onto the hands and let the body down to rest on the floor.,FALL SLOWLY FORWARD ONTO THE HANDS AND LET THE BODY DOWN TO REST ON THE FLOOR,*/sample814 FALL SLOWLY FORWARD ONTO THE HANDS AND LET THE BODY DOWN TO REST ON THE FLOOR
814,815,si815,Push back up and repeat.,PUSH BACK UP AND REPEAT,*/sample815 PUSH BACK UP AND REPEAT
815,816,si816,Do this exercise six times each class period.,DO THIS EXERCISE SIX TIMES EACH CLASS PERIOD,*/sample816 DO THIS EXERCISE SIX TIMES EACH CLASS PERIOD
816,817,si817,This will prevent flat falls and toe injuries.,THIS WILL PREVENT FLAT FALLS AND TOE INJURIES,*/sample817 THIS WILL PREVENT FLAT FALLS AND TOE INJURIES
817,818,si818,Bones and cartilage transmit poorly and tend to reflect the ultrasonic signals.,BONES AND CARTILAGE TRANSMIT POORLY AND TEND TO REFLECT THE ULTRASONIC SIGNALS,*/sample818 BONES AND CARTILAGE TRANSMIT POORLY AND TEND TO REFLECT THE ULTRASONIC SIGNALS
818,819,si819,"There, forces are more latent than in electricity, and less than in magnetism.",THERE FORCES ARE MORE LATENT THAN IN ELECTRICITY AND LESS THAN IN MAGNETISM,*/sample819 THERE FORCES ARE MORE LATENT THAN IN ELECTRICITY AND LESS THAN IN MAGNETISM
819,820,si820,"By that, one feels that magnetic forces are as general as electrical forces.",BY THAT ONE FEELS THAT MAGNETIC FORCES ARE AS GENERAL AS ELECTRICAL FORCES,*/sample820 BY THAT ONE FEELS THAT MAGNETIC FORCES ARE AS GENERAL AS ELECTRICAL FORCES
820,821,si821,The target chart quickly and briefly tells you which additives do what.,THE TARGET CHART QUICKLY AND BRIEFLY TELLS YOU WHICH ADDITIVES DO WHAT,*/sample821 THE TARGET CHART QUICKLY AND BRIEFLY TELLS YOU WHICH ADDITIVES DO WHAT
821,822,si822,Milk production may be increased by the anti-infective properties of this drug.,MILK PRODUCTION MAY BE INCREASED BY THE ANTI-INFECTIVE PROPERTIES OF THIS DRUG,*/sample822 MILK PRODUCTION MAY BE INCREASED BY THE ANTI-INFECTIVE PROPERTIES OF THIS DRUG
822,823,si823,The drug is also incorporated in supplements.,THE DRUG IS ALSO INCORPORATED IN SUPPLEMENTS,*/sample823 THE DRUG IS ALSO INCORPORATED IN SUPPLEMENTS
823,824,si824,Several firms are merchandising enzyme preparation through feed manufacturers.,SEVERAL FIRMS ARE MERCHANDISING ENZYME PREPARATION THROUGH FEED MANUFACTURERS,*/sample824 SEVERAL FIRMS ARE MERCHANDISING ENZYME PREPARATION THROUGH FEED MANUFACTURERS
824,825,si825,What it does: aids in preventing foamy bloat.,WHAT IT DOES AIDS IN PREVENTING FOAMY BLOAT,*/sample825 WHAT IT DOES AIDS IN PREVENTING FOAMY BLOAT
825,826,si826,Caution: continuous administration is not recommended for lactating cows.,CAUTION CONTINUOUS ADMINISTRATION IS NOT RECOMMENDED FOR LACTATING COWS,*/sample826 CAUTION CONTINUOUS ADMINISTRATION IS NOT RECOMMENDED FOR LACTATING COWS
826,827,si827,Drug's chemical name: procaine penicillin.,DRUG'S CHEMICAL NAME PROCAINE PENICILLIN,*/sample827 DRUG'S CHEMICAL NAME PROCAINE PENICILLIN
827,828,si828,Drug's chemical name: dried rumen bacteria.,DRUG'S CHEMICAL NAME DRIED RUMEN BACTERIA,*/sample828 DRUG'S CHEMICAL NAME DRIED RUMEN BACTERIA
828,829,si829,What it does: stimulates rumen activity.,WHAT IT DOES STIMULATES RUMEN ACTIVITY,*/sample829 WHAT IT DOES STIMULATES RUMEN ACTIVITY
829,830,si830,No one material is best for all situations.,NO ONE MATERIAL IS BEST FOR ALL SITUATIONS,*/sample830 NO ONE MATERIAL IS BEST FOR ALL SITUATIONS
830,831,si831,Selecting bunks by economic comparison is usually an individual problem.,SELECTING BUNKS BY ECONOMIC COMPARISON IS USUALLY AN INDIVIDUAL PROBLEM,*/sample831 SELECTING BUNKS BY ECONOMIC COMPARISON IS USUALLY AN INDIVIDUAL PROBLEM
831,832,si832,Wider discretionary choices for customers.,WIDER DISCRETIONARY CHOICES FOR CUSTOMERS,*/sample832 WIDER DISCRETIONARY CHOICES FOR CUSTOMERS
832,833,si833,Less personal salesmanship.,LESS PERSONAL SALESMANSHIP,*/sample833 LESS PERSONAL SALESMANSHIP
833,834,si834,It has multiple implications and possible headaches for your marketing program.,IT HAS MULTIPLE IMPLICATIONS AND POSSIBLE HEADACHES FOR YOUR MARKETING PROGRAM,*/sample834 IT HAS MULTIPLE IMPLICATIONS AND POSSIBLE HEADACHES FOR YOUR MARKETING PROGRAM
834,835,si835,"Salesmanship is still necessary, but it's a different brand of salesmanship.",SALESMANSHIP IS STILL NECESSARY BUT IT'S A DIFFERENT BRAND OF SALESMANSHIP,*/sample835 SALESMANSHIP IS STILL NECESSARY BUT IT'S A DIFFERENT BRAND OF SALESMANSHIP
835,836,si836,No manufacturer has taken the initiative in pointing out the costs involved.,NO MANUFACTURER HAS TAKEN THE INITIATIVE IN POINTING OUT THE COSTS INVOLVED,*/sample836 NO MANUFACTURER HAS TAKEN THE INITIATIVE IN POINTING OUT THE COSTS INVOLVED
836,837,si837,Computers are being used to keep branch inventories at more workable levels.,COMPUTERS ARE BEING USED TO KEEP BRANCH INVENTORIES AT MORE WORKABLE LEVELS,*/sample837 COMPUTERS ARE BEING USED TO KEEP BRANCH INVENTORIES AT MORE WORKABLE LEVELS
837,838,si838,Increasing tempo of new product development.,INCREASING TEMPO OF NEW PRODUCT DEVELOPMENT,*/sample838 INCREASING TEMPO OF NEW PRODUCT DEVELOPMENT
838,839,si839,Practically all forecasts mention new and exciting products on the horizon.,PRACTICALLY ALL FORECASTS MENTION NEW AND EXCITING PRODUCTS ON THE HORIZON,*/sample839 PRACTICALLY ALL FORECASTS MENTION NEW AND EXCITING PRODUCTS ON THE HORIZON
839,840,si840,Complexity of complete marketing planning.,COMPLEXITY OF COMPLETE MARKETING PLANNING,*/sample840 COMPLEXITY OF COMPLETE MARKETING PLANNING
840,841,si841,Every single problem touched on thus far is related to good marketing planning.,EVERY SINGLE PROBLEM TOUCHED ON THUS FAR IS RELATED TO GOOD MARKETING PLANNING,*/sample841 EVERY SINGLE PROBLEM TOUCHED ON THUS FAR IS RELATED TO GOOD MARKETING PLANNING
841,842,si842,Are planning and strategy development emphasized sufficiently in your company?,ARE PLANNING AND STRATEGY DEVELOPMENT EMPHASIZED SUFFICIENTLY IN YOUR COMPANY,*/sample842 ARE PLANNING AND STRATEGY DEVELOPMENT EMPHASIZED SUFFICIENTLY IN YOUR COMPANY
842,843,si843,"To begin with, what is an interior designer?",TO BEGIN WITH WHAT IS AN INTERIOR DESIGNER,*/sample843 TO BEGIN WITH WHAT IS AN INTERIOR DESIGNER
843,844,si844,Thus technical efficiency is achieved at the expense of actual experience.,THUS TECHNICAL EFFICIENCY IS ACHIEVED AT THE EXPENSE OF ACTUAL EXPERIENCE,*/sample844 THUS TECHNICAL EFFICIENCY IS ACHIEVED AT THE EXPENSE OF ACTUAL EXPERIENCE
844,845,si845,But to continue to divorce advanced students from reality is inexcusable.,BUT TO CONTINUE TO DIVORCE ADVANCED STUDENTS FROM REALITY IS INEXCUSABLE,*/sample845 BUT TO CONTINUE TO DIVORCE ADVANCED STUDENTS FROM REALITY IS INEXCUSABLE
845,846,si846,This brings us to the question of accreditation of art schools in general.,THIS BRINGS US TO THE QUESTION OF ACCREDITATION OF ART SCHOOLS IN GENERAL,*/sample846 THIS BRINGS US TO THE QUESTION OF ACCREDITATION OF ART SCHOOLS IN GENERAL
846,847,si847,Is it larger or fancier than you really need?,IS IT LARGER OR FANCIER THAN YOU REALLY NEED,*/sample847 IS IT LARGER OR FANCIER THAN YOU REALLY NEED
847,848,si848,Can your insurance company aid you in reducing administrative costs?,CAN YOUR INSURANCE COMPANY AID YOU IN REDUCING ADMINISTRATIVE COSTS,*/sample848 CAN YOUR INSURANCE COMPANY AID YOU IN REDUCING ADMINISTRATIVE COSTS
848,849,si849,Would a camera club be useful in taking pictures pertinent to plant safety?,WOULD A CAMERA CLUB BE USEFUL IN TAKING PICTURES PERTINENT TO PLANT SAFETY,*/sample849 WOULD A CAMERA CLUB BE USEFUL IN TAKING PICTURES PERTINENT TO PLANT SAFETY
849,850,si850,Are you underwriting expensive team trips?,ARE YOU UNDERWRITING EXPENSIVE TEAM TRIPS,*/sample850 ARE YOU UNDERWRITING EXPENSIVE TEAM TRIPS
850,851,si851,Are you utilizing vending machine proceeds to help pay for your program?,ARE YOU UTILIZING VENDING MACHINE PROCEEDS TO HELP PAY FOR YOUR PROGRAM,*/sample851 ARE YOU UTILIZING VENDING MACHINE PROCEEDS TO HELP PAY FOR YOUR PROGRAM
851,852,si852,"If you use parking attendants, can they be replaced by automatic parking gates?",IF YOU USE PARKING ATTENDANTS CAN THEY BE REPLACED BY AUTOMATIC PARKING GATES,*/sample852 IF YOU USE PARKING ATTENDANTS CAN THEY BE REPLACED BY AUTOMATIC PARKING GATES
